Name,Datum,Ort
"082435 Advertising Week New York 2025","11.–12.10.2025","New York, USA"
"Golden Drum Festival 2025","17.–18.10.2025","Portorož, Slowenien"
"ADC Design Conference 2025","20.10.2025","Stuttgart, Deutschland"
"ADC Digital Conference 2025","10.11.2025","Düsseldorf, Deutschland"
"Effie Awards Germany 2025","13.11.2025","Leipzig, Deutschland"
"Eurobest Festival 2025","30.11.2025","Europa (Ort tba)"
"SXSW 2026 – Brand & Marketing Track","22.–23.03.2026","Austin, USA"
"Advertising Week Europe 2026","30.–31.03.2026","London, UK"
"OMR Festival 2026","10.–11.05.2026","Hamburg, Deutschland"
"German Brand Award 2026","01.06.2026","Berlin, Deutschland"
"ADC Festival 2026","15.–16.06.2026","Hamburg, Deutschland"
"Cannes Lions International Festival 2026","30.–01.07.2026","Cannes, Frankreich"
"D&AD Awards 2026 D","31.08.2026","London, UK"
"DMEXCO 2026","28.–29.09.2026","Köln, Deutschland"
"LIA Awards 2026 (London International Awards)","01.10.2026","Las Vegas, USA"
"Eurobest Festival 2026","01.12.2026","Europa (Ort tba)"
